공원명,주소,Latitude,Longitude
어린이대공원,광진구 능동로 216,37.5495886,127.081578
월드컵공원,마포구 증산로 32,37.5632716,126.8926785
보라매공원,동작구 여의대방로20마길 11,37.4926778,126.919139
매헌시민의숲,서울 서초구 매헌로 99 ,37.4710677,127.035758
초안산근린공원,도봉구 해등로3길 48-11,37.6463347,127.0408015
송파구 반려견 놀이터,송파구 가락동 508 ,37.4966651,127.1005419
영등포구 반려견 놀이터,영등포구 문래동6가 52,37.5211564,126.8805509
구로구 반려견 놀이터,구로구 신도림동 285-34,37.5071197,126.8744887
동대문구 반려견 놀이터,동대문구 장안동 316-15,37.579789,127.0757689
마포구 반려견놀이터 (댕댕이 놀이터),마포구 마포대로1길 3 ,37.5398958,126.9416709
북서울꿈의숲,서울 강북구 월계로 173,37.6217709,127.0411741